,Trial,Positivity_SMH,Positivity_WIH,Friendly_SMH,Friendly_WIH,Helpfulness_SMH,Helpfulness_WIH,Negativity_SMH,Negativity_WIH,Positivity,Friendly,Helpfulness,Negativity
1,101.1,-0.703642232,-0.651406229,4.166666667,4.333333333,4.666666667,4.333333333,1.5,1.5,-0.677524231,4.25,4.5,1.5
2,103.2,-8.684004335,-6.756141925,2,2.5,1,1.333333333,6,4.5,-7.72007313,2.25,1.166666667,5.25
3,105.1,3.69584836,3.115446758,6.333333333,6.166666667,6.333333333,5.666666667,1,1,3.405647559,6.25,6,1
4,109.1,-2.103556802,1.876184076,3.833333333,5.333333333,3.666666667,5.666666667,2,1,-0.113686363,4.583333333,4.666666667,1.5
5,111.2,-7.306074426,-5.185865693,2.166666667,2.666666667,1.333333333,2.333333333,4.5,3,-6.24597006,2.416666667,1.833333333,3.75
6,111.4,-5.08321997,-2.934852024,2.833333333,3.333333333,3.333333333,3.666666667,4.5,2,-4.009035997,3.083333333,3.5,3.25
7,113.1,0.807049687,2.534255463,4.833333333,6,5.333333333,5.666666667,1,1.5,1.670652575,5.416666667,5.5,1.25
8,114.1,-10.21853516,-7.862124182,1.166666667,1.833333333,1,1.333333333,6.5,4.5,-9.04032967,1.5,1.166666667,5.5
9,119.3,-1.135682579,0.333799816,4.166666667,5.166666667,5,4.666666667,2.5,2,-0.400941381,4.666666667,4.833333333,2.25
10,119.4,-0.225940873,1.903383814,4.666666667,5.833333333,3.666666667,5,1,1.5,0.838721471,5.25,4.333333333,1.25
11,119.5,-0.123135749,0.593659248,4.333333333,5,4.666666667,5.333333333,1,2,0.23526175,4.666666667,5,1.5
12,121.1,-7.109314772,-4.879766015,2.333333333,3.333333333,2.333333333,3,5.5,5,-5.994540394,2.833333333,2.666666667,5.25
13,122.2,1.07688328,1.088548382,5,5.166666667,5,5.666666667,1,2,1.082715831,5.083333333,5.333333333,1.5
14,122.4,3.418186414,1.154983079,6.166666667,5.333333333,6,5.333333333,1,2,2.286584746,5.75,5.666666667,1.5
15,123.1,1.729952903,-0.776145426,5.666666667,4.666666667,5,4.333333333,1.5,2.5,0.476903739,5.166666667,4.666666667,2
16,125.2,1.988676321,1.848845095,5.333333333,5.5,5.666666667,5.333333333,1,1,1.918760708,5.416666667,5.5,1
17,129.1,1.331317541,-0.274527014,5,4.5,5.333333333,5,1,2,0.528395263,4.75,5.166666667,1.5
18,129.2,0.010366581,2.747248628,4.333333333,5.833333333,5.333333333,6,1.5,1,1.378807605,5.083333333,5.666666667,1.25
19,129.4,-0.123135749,1.769009627,4.333333333,5.333333333,4.666666667,5.666666667,1,1,0.822936939,4.833333333,5.166666667,1
20,130.1,1.908840853,3.699633484,5.166666667,6.166666667,6,6.666666667,1,1,2.804237169,5.666666667,6.333333333,1
21,131.1,-4.598617196,-5.339230906,3.166666667,3.166666667,1,1.333333333,2,3.5,-4.968924051,3.166666667,1.166666667,2.75
22,133.1,2.646035101,4.388963664,5.666666667,6.666666667,6,6.666666667,1,1,3.517499382,6.166666667,6.333333333,1
23,135.2,1.916195229,2.931315131,5.333333333,6,5.333333333,6,1,1,2.42375518,5.666666667,5.666666667,1
24,135.4,1.99155461,1.848845095,5.333333333,5.5,5.666666667,5.333333333,1,1,1.920199853,5.416666667,5.5,1
25,135.5,-0.054113609,0.605198515,4.333333333,4.833333333,4.666666667,5.666666667,1,2,0.275542453,4.583333333,5.166666667,1.5
26,137.1,-0.524429439,3.324412736,4.166666667,6.166666667,4.666666667,6,1,1,1.399991648,5.166666667,5.333333333,1
27,137.2,2.668863019,2.694768108,6,6.166666667,5.333333333,5.666666667,1,1.5,2.681815563,6.083333333,5.5,1.25
28,137.3,0.167511182,0,5.666666667,0,2,0,1,0,0.083755591,2.833333333,1,0.5
29,141.1,-1.857644275,-0.255322784,3.333333333,4.5,4.666666667,4.333333333,1.5,1,-1.056483529,3.916666667,4.5,1.25
30,143.1,-1.522902381,-0.059757577,3.833333333,4.5,4,4.666666667,1.5,1,-0.791329979,4.166666667,4.333333333,1.25
31,143.2,1.928363609,1.471848075,5.666666667,5.333333333,5,5.333333333,1,1.5,1.700105842,5.5,5.166666667,1.25
32,145.1,3.732182886,3.784786747,6.166666667,6.333333333,6.666666667,6.333333333,1,1,3.758484816,6.25,6.5,1
33,146.1,0,-1.06096117,0,3.833333333,0,4.666666667,0,1,-0.530480585,1.916666667,2.333333333,0.5
34,146.2,0.90866274,2.86840185,4.833333333,5.666666667,5.666666667,6.333333333,1.5,1,1.888532295,5.25,6,1.25
35,147.1,0.852117587,1.979005165,5,5.666666667,4.666666667,5.666666667,1,1.5,1.415561376,5.333333333,5.166666667,1.25
36,147.2,-1.795415001,1.353955961,3.666666667,5.333333333,4.666666667,5,2,1,-0.22072952,4.5,4.833333333,1.5
37,151.1,-3.946630739,2.274273305,3,5.666666667,4,5.666666667,3.5,1,-0.836178717,4.333333333,4.833333333,2.25
38,151.2,-0.854686553,-0.705009927,4.333333333,4.333333333,4,5,1.5,2,-0.77984824,4.333333333,4.5,1.75
39,151.3,1.505000281,4.501455909,5.166666667,6.666666667,5.666666667,6.666666667,1,1,3.003228095,5.916666667,6.166666667,1
40,153.1,-0.535089834,1.079572071,4.166666667,5,4.666666667,5.333333333,1.5,1,0.272241119,4.583333333,5,1.25
41,153.2,0.190282721,2.524922442,4.5,5.833333333,5,5.666666667,1,1,1.357602581,5.166666667,5.333333333,1
42,154.2,0.745533019,0.082654367,4.833333333,4.833333333,5,5,1,2,0.414093693,4.833333333,5,1.5
43,154.3,0.637697589,-0.444593972,4.833333333,4.333333333,5,4.333333333,1.5,1,0.096551808,4.583333333,4.666666667,1.25
44,157.1,-1.254616256,0.638675523,3.833333333,4.833333333,5,5,2,1,-0.307970366,4.333333333,5,1.5
45,161.1,-1.853494361,1.400452293,3.666666667,5.166666667,4,5.333333333,1.5,1,-0.226521034,4.416666667,4.666666667,1.25
46,162.1,2.197642299,4.210214957,5.333333333,6.5,6,6.666666667,1,1,3.203928628,5.916666667,6.333333333,1
47,167.1,-5.990315891,-3.312627125,2.666666667,3.666666667,1,2.666666667,3.5,3,-4.651471508,3.166666667,1.833333333,3.25
48,169.1,1.443483613,3.596935121,5.166666667,6.333333333,5.333333333,6,1,1,2.520209367,5.75,5.666666667,1
49,169.2,1.828320009,1.196321605,5.333333333,5.166666667,5.666666667,5,1,1,1.512320807,5.25,5.333333333,1
50,170.2,-0.094525144,-0.059757577,4.5,4.5,4.333333333,4.666666667,1,1,-0.07714136,4.5,4.5,1
51,170.3,-1.373897135,-0.059757577,3.666666667,4.5,4.333333333,4.666666667,1,1,-0.716827356,4.083333333,4.5,1
52,170.4,1.922093686,0.244736208,5.333333333,4.833333333,5.666666667,4.333333333,1,1,1.083414947,5.083333333,5,1
53,173.1,2.680992166,-2.67297873,5.666666667,3.833333333,6,3.666666667,1,3,0.004006718,4.75,4.833333333,2
54,175.2,-2.707733719,0.012142853,3.5,4.5,3.333333333,4.666666667,2,1,-1.347795433,4,4,1.5
55,175.3,-3.87581246,-0.226012347,3.166666667,4.5,3,4.333333333,3,1,-2.050912403,3.833333333,3.666666667,2
56,175.4,-1.781593931,1.406087042,3.666666667,5.166666667,4,5.333333333,1.5,1,-0.187753445,4.416666667,4.666666667,1.25
57,177.1,-3.245306972,3.69872665,3.166666667,6.333333333,3.666666667,6.333333333,2.5,1,0.226709839,4.75,5,1.75
58,177.2,-4.566446966,0.332433194,2.833333333,4.833333333,2.333333333,4.333333333,2.5,1,-2.117006886,3.833333333,3.333333333,1.75
59,181.1,1.036291465,1.697327994,5,5.333333333,5,5.333333333,1,1,1.366809729,5.166666667,5.166666667,1
60,183.2,-7.355115692,-1.656322664,2.166666667,4.333333333,1,3,4.5,2,-4.505719178,3.25,2,3.25
61,185.2,1.510066248,3.06040339,5.166666667,6,5.333333333,6,1,1,2.285234819,5.583333333,5.666666667,1
62,185.5,-0.13689323,0.62830098,4.333333333,4.666666667,5,5.333333333,1.5,1,0.245703875,4.5,5.166666667,1.25
63,186.1,1.287699498,2.957968736,5.166666667,6.166666667,5,5.666666667,1,1,2.122834117,5.666666667,5.333333333,1
64,189.1,1.69317808,2.023443888,5,5.333333333,6,6,1,1,1.858310984,5.166666667,6,1
65,191.1,3.432428895,4.501455909,6,6.666666667,6.666666667,6.666666667,1,1,3.966942402,6.333333333,6.666666667,1
66,194.1,2.41698282,3.822500272,5.5,6.333333333,6,6.333333333,1,1,3.119741546,5.916666667,6.166666667,1
67,194.2,1.14699822,1.447877576,5,5.166666667,5.666666667,5.333333333,1.5,1,1.297437898,5.083333333,5.5,1.25
68,194.3,2.238234113,4.501455909,5.333333333,6.666666667,6,6.666666667,1,1,3.369845011,6,6.333333333,1
69,195.1,-1.848513628,0.046510038,3.666666667,4.666666667,3.333333333,4.333333333,1,1,-0.901001795,4.166666667,3.833333333,1
70,195.5,-9.27067994,-7.059649172,1.5,2,1,1.666666667,6,4,-8.165164556,1.75,1.333333333,5
71,203.1,-5.006872054,-4.417738458,2.666666667,3.166666667,2.666666667,3.333333333,3.5,4,-4.712305256,2.916666667,3,3.75
72,203.2,-0.273273851,-0.872900472,4.333333333,4.166666667,4.333333333,4,1,1,-0.573087161,4.25,4.166666667,1
73,206.1,-3.737304543,-2.884201506,3.333333333,3.333333333,2,2.666666667,2,1,-3.310753025,3.333333333,2.333333333,1.5
74,210.1,-4.557406817,-2.378937829,3,3.666666667,1.333333333,2.666666667,2,1,-3.468172323,3.333333333,2,1.5
