Trial,Friendliness,Curtness,Warmth,Rude,Length,Source
101.1,4.5,1.5,4,1.5,164.86,Coder
103.2,2.5,5.5,2,5,30.905,Coder
105.1,7,1,6,1,78.055,Coder
109.1,5,2,4.5,1,84.19,Coder
111.2,1,1.5,1,1.5,20.5,Coder
111.4,3,3.5,2.5,3,66.5,Coder
113.1,6,1,5,1.5,34.105,Coder
114.1,1.5,5.5,1.5,5.5,46.48,Coder
119.3,4.5,2.5,5,2,126,Coder
119.4,6,1.5,4.5,1,31.265,Coder
119.5,5.5,1.5,4.5,1.5,56.93,Coder
121.1,3,5.5,2.5,5,40.155,Coder
122.2,6,1.5,5.5,1.5,71.35,Coder
122.4,6.5,1.5,5.5,1.5,64.525,Coder
123.1,6,2.5,5.5,1.5,55.655,Coder
125.2,6,1,5,1,35.2,Coder
129.1,5.5,1.5,4.5,1.5,44.52,Coder
129.2,6,1.5,4.5,1,82.39,Coder
129.4,5.5,1,4.5,1,52.035,Coder
130.1,6.5,1,5.5,1,72.095,Coder
131.1,5,3.5,3.5,2,21.99,Coder
133.1,6.5,1,6,1,84.055,Coder
135.2,6.5,1,5.5,1,65.37,Coder
135.4,6,1,5,1,58,Coder
135.5,5,1.5,3.5,1.5,36.005,Coder
137.1,6,1,5,1,50.75,Coder
137.2,7,1,6.5,1.5,107.55,Coder
137.3,3,0.5,2.5,0.5,15.605,Coder
141.1,4.5,1.5,3.5,1,44.385,Coder
143.1,5,1.5,3.5,1,49.735,Coder
143.2,6.5,1.5,5,1,37.99,Coder
145.1,6.5,1,6,1,85.695,Coder
146.2,5.5,1.5,4.5,1,94.84,Coder
147.1,2.5,0.5,2.5,0.5,16.04,Coder
147.2,2,1,1.5,1,19.13,Coder
151.1,4.5,2.5,4.5,2,98.255,Coder
151.2,5,2,4.5,1.5,34.31,Coder
151.3,6,1,6,1,144.695,Coder
153.1,4.5,1.5,3.5,1,46.68,Coder
153.2,2.5,0.5,2.5,0.5,19.16,Coder
154.2,3,0.5,2.5,0.5,15.225,Coder
154.3,5.5,1.5,4.5,1,24.665,Coder
157.1,2,1,2,1,25.36,Coder
